user_id,book_id,rating,title
4574,34,5,"The Fellowship of the Ring (The Lord of the Rings, #1)"
4574,44687,4,"Enchanters' End Game (The Belgariad, #5)"
4574,28507,4,"Serpent Mage (The Death Gate Cycle, #4)"
4574,68497,5,"The Scar (Bas-Lag, #2)"
4574,70582,4,War for the Oaks
4574,186444,4,"Dreams Underfoot (Newford, #1)"
4574,152427,4,Thomas the Rhymer
4574,230852,4,"City of Saints and Madmen (Ambergris, #1)"
4574,89190,5,Redemption Ark
4574,45258,5,Fallen Dragon
4574,29397,5,"Woken Furies (Takeshi Kovacs, #3)"
4574,45260,5,"The Naked God (Night's Dawn, #3)"
4574,422452,5,Against a Dark Background
4574,101864,5,"Iron Sunrise (Eschaton, #2)"
4574,14497,4,Neverwhere
4574,12067,4,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch"
4574,104089,5,Tigana
4574,15177,5,"Bridge of Birds (The Chronicles of Master Li and Number Ten Ox, #1)"
4574,126192,5,"Mythago Wood (Mythago Wood, #1)"
4574,2437416,4,"Little, Big"
4574,76740,5,The Demolished Man
4574,525304,4,Star Maker
4574,968902,4,Dying Inside
4574,1064084,4,A Voyage to Arcturus
4574,25781,5,The Iron Dragon's Daughter
4574,133460,4,"The Phoenix Guards (Khaavren Romances, #1)"
4574,400881,5,"Shadows Linger (The Chronicles of the Black Company, #2)"
4574,55398,5,"House of Chains (The Malazan Book of the Fallen, #4)"
4574,817357,5,"Yendi (Vlad Taltos, #2)"
4574,2485836,5,"Return of the Crimson Guard (Novels of the Malazan Empire, #2)"
4574,4703427,5,"Dust of Dreams (The Malazan Book of the Fallen, #9)"
4574,280717,5,"The Hollowing (Mythago Wood, #4)"
4574,175983,5,"Memories of Ice (The Malazan Book of the Fallen, #3)"
4574,17061,4,Coraline
4574,472331,5,Watchmen
4574,23754,5,Preludes & Nocturnes (The Sandman #1)
4574,5805,4,V for Vendetta
4574,59978,4,That Yellow Bastard (Sin City #4)
4574,107007,5,"The League of Extraordinary Gentlemen, Vol. 2"
4574,102461,5,"Hellboy, Vol. 3: The Chained Coffin and Others (Hellboy, #3)"
