user_id,book_id,rating,title
4297,12691,5,Marley and Me: Life and Love With the World's Worst Dog
4297,500743,5,"The Wizard Heir (The Heir Chronicles, #2)"
4297,46202,4,"Magic Study (Study, #2)"
4297,28876,5,"His Majesty's Dragon (Temeraire, #1)"
4297,93728,5,"Princess in Love (The Princess Diaries, #3)"
4297,213647,4,"The Warrior Heir (The Heir Chronicles, #1)"
4297,785453,5,A Single Shard
4297,93724,5,"Twilight (The Mediator, #6)"
4297,23225,5,"Haunted (The Mediator, #5)"
4297,23224,5,"Darkest Hour (The Mediator, #4)"
4297,439275,4,"Princess in the Spotlight (The Princess Diaries, #2)"
4297,686344,5,"Coyote (Coyote Trilogy, #1)"
4297,1966969,4,"Fire Study (Study, #3)"
4297,1656001,5,"The Host (The Host, #1)"
4297,311308,5,"Devil's Cub (Alastair, #2)"
4297,428263,4,"Eclipse (Twilight, #3)"
4297,10,5,"Harry Potter Collection (Harry Potter, #1-6)"
4297,23221,4,How to Be Popular
4297,60510,5,"Poison Study (Study, #1)"
4297,21060,5,Crown Duel (Crown & Court #1-2)
4297,1026185,5,"Daughter of the Game (Rannoch/Fraser Chronological Order, #11)"
4297,248483,5,"Austenland (Austenland, #1)"
4297,641910,4,"Cast in Secret (Chronicles of Elantra, #3)"
4297,30189,4,Cast In Courtlight (Chronicles of Elantra #2)
4297,264147,4,"Hidden Truth (Truth, #2)"
4297,9542,4,"Cast in Shadow (Chronicles of Elantra, #1)"
4297,44652,4,"Fablehaven (Fablehaven, #1)"
4297,111022,4,"First Truth (Truth, #1)"
4297,68428,5,"The Final Empire (Mistborn, #1)"
4297,1205297,4,Playing for Pizza
4297,2156,5,Persuasion
4297,7445,4,The Glass Castle
4297,263731,5,"The Decoy Princess (Princess, #1)"
4297,111012,5,"Princess at Sea (Princess, #2)"
4297,672815,5,Shadows of Myth
4297,13978,5,"One Good Knight (Five Hundred Kingdoms, #2)"
4297,277260,4,Practically Perfect
4297,1162543,5,"Breaking Dawn (Twilight, #4)"
4297,81153,5,Briar Rose
4297,2866413,4,"The Dragon Heir (The Heir Chronicles, #3)"
