user_id,book_id,rating,title
3732,268602,5,"Naked in Death (In Death, #1)"
3732,268601,5,"Glory in Death (In Death, #2)"
3732,238126,5,"Immortal in Death (In Death, #3)"
3732,132778,5,"Vengeance in Death (In Death, #6)"
3732,337943,5,"Silver Master (Ghost Hunters, #4)"
3732,268604,4,"Portrait in Death (In Death, #16)"
3732,238125,4,"Holiday in Death (In Death, #7)"
3732,172691,5,"Conspiracy in Death (In Death, #8)"
3732,74033,5,"Innocent in Death (In Death, #24)"
3732,13145,5,"Along Came a Spider (Alex Cross, #1)"
3732,13148,5,"Kiss the Girls (Alex Cross, #2)"
3732,13152,4,"The Angel Experiment (Maximum Ride, #1)"
3732,13137,5,"1st to Die (Women's Murder Club, #1)"
3732,13139,4,"School's Out—Forever (Maximum Ride, #2)"
3732,33676,4,"Saving the World and Other Extreme Sports (Maximum Ride, #3)"
3732,13136,4,"2nd Chance (Women's Murder Club, #2)"
3732,7510,5,The Beach House
3732,32255,5,"Vanish (Rizzoli & Isles, #5)"
3732,182012,5,"Indelible (Grant County, #4)"
3732,128759,5,"Fatal Voyage (Temperance Brennan, #4)"
3732,92145,4,Flesh and Bone (Body Farm #2)
3732,3289090,4,"Exposed (Maggie O'Dell, #6)"
3732,390299,5,A Necessary Evil (Maggie O'Dell #5)
3732,32530,4,"The Third Victim (Quincy & Rainie, #2)"
3732,985229,5,"Last Known Victim (Stacy Killian, #3; The Malones, #4)"
3732,759900,5,"The Killing Hour (Quincy & Rainie, #4)"
3732,11988806,5,"Relentless Pursuit (Secrets of Roux River Bayou, #3)"
3732,12351871,5,You Don't Want To Know
3732,13092965,5,"The Storm (NUMA Files, #10)"
3732,43641,4,Water for Elephants
3732,37301,4,"Rules of Prey (Lucas Davenport, #1)"
3732,6534,4,"Postmortem (Kay Scarpetta, #1)"
3732,89165,4,"J is for Judgment (Kinsey Millhone, #10)"
3732,455930,4,"Echo Burning (Jack Reacher, #5)"
3732,8805443,4,"The Sentry (Elvis Cole, #14; Joe Pike, #3)"
3732,64864,4,"N is for Noose (Kinsey Millhone, #14)"
3732,8438022,4,"Robert B. Parker's Killing the Blues (Jesse Stone, #10)"
3732,7122034,4,"Fever Dream (Pendergast, #10)"
3732,216131,4,"Secret Prey (Lucas Davenport, #9)"
3732,7277715,4,"Deliver Us from Evil (A. Shaw, #2)"
